Employee ID	Employee Name	Sales Department	Date	Column 1	Column 2	Profile name	Amount	Column 3	Percentage	Client Name	Client Name	Email Address	Order Number	Order Link	Instruction Sheet	Remarks	Extend Time	Assign persion	Status	Service Line	Delivered By	Delivered Date	Amount	Deli_Last_Time	Deadline	Op. Department	Platform Status	Order Source	Platform Source	ERP Update	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			cube_tech_Fiverr	$200.00		$0.20	baobergnir			FO8297BAB7CC4	https://www.fiverr.com/orders/FO8297BAB7CC4/activities	https://docs.google.com/spreadsheets/d/1X39iWKv0tu2_EJS2ScfI2DBC3gPNWMd65MfJAlD7KPA/edit?usp=sharing	Monthly management	No Extend	Hasibul	WIP	SEO	Geo_Rankers	May 4, 2026	$160.00	7 May 2026 at 07:32:00 PM	05 Days	SAA Team Old	SAA_Old Order	Repeat Order	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			seo_boostify_Fiverr	$250.00		$0.20	villagoa123			FO21BA8822186	https://www.fiverr.com/orders/FO21BA8822186/activities	https://docs.google.com/spreadsheets/d/1Ph8AaLO2TEHcG_FTKaOzVZ-9E7J0cnzizaE1JkDFAYY/edit?usp=sharing	Website er issue ase	No Extend	Sabit / Alamin	WIP	SEO	Geo_Rankers	May 8, 2026	$200.00	8 May 2026 at 01:48:00 PM	06 Days	SAA Team Old	SAA_Old Order	Conversion/Query	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			adsfrenzy_Fiverr	$600.00		$0.20	acolonit			FO11BA921B587_seo	https://www.fiverr.com/orders/FO11BA921B587/activities	https://docs.google.com/spreadsheets/d/1DllFfgYrfuJn3zPJ8CWN3NuJTcfvN1btz1FqVrWyxmM/edit?usp=sharing	local citation send ( work 70% Finish)	No Extend	Rezwan/Harun/Jobaeid 	WIP	SEO	Search_Apex	April 5, 2026	$480.00	9 May 2026 at 02:36:00 AM	06 Days	SAA Team Old	SAA_Old Order	Cross_Sell	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			rankeyfiy_Fiverr	$160.00		$0.20	fadynyc			FO51BA9A1DD83	https://www.fiverr.com/orders/FO51BA9A1DD83/activities	https://docs.google.com/spreadsheets/d/1j0MBcZ74CMQqxeQFqGVYkyEp19NM6IopFDepte4mwpE/edit?usp=sharing	Approach dewa ase, client er concern clear hole update jabe	No Extend	Reza	WIP	SEO	Rank_Riser	May 8, 2026	$128.00	9 May 2026 at 06:18:00 PM	07 Days	SAA Team Old	SAA_Old Order	Conversion/Query	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			rankstorm_Fiverr	$150.00		$0.20	kevintech60			FO32295E2B007	https://www.fiverr.com/orders/FO32295E2B007/activities	https://docs.google.com/spreadsheets/d/1vIwkFN3LeCEvgn2vK85eCTLUqG8luJYlZSVjBgQHQ4E/edit?usp=sharing	200+ ta url er 404 issue fixed kore update gese, 60 ta update jabe. 40 ta url update jabe sathe on-page er update jabe.	No Extend	Shourav/ Sushant / Sammi	WIP	SEO	Geo_Rankers	May 4, 2026	$120.00	5 May 2026 at 12:00:00 AM	02 Days	SAA Team Old	SAA_Old Order	Brief/Invitation	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			growth_pro2_Fiverr	$1,400.00		$0.20	yaniv1987			FO1DD5A72D43	https://www.fiverr.com/orders/FO1DD5A72D43/activities	https://docs.google.com/spreadsheets/d/1IU5tJCpTlKD_DWE6_aauTckGnlwSrR2s7Ncjmb04XmE/edit?usp=sharing	On-page Keywords Send	No Extend	Tihim / Babu / Harun/ Imran	WIP	SEO	Search_Apex	May 10, 2026	$1,120.00	11 May 2026 at 05:16:00 PM	09 Days	SAA Team Old	SAA_Old Order	Conversion/Query	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			cube_tech_Fiverr	$400.00		$0.20	ljones2609			FO31BAC48A985	https://www.fiverr.com/orders/FO31BAC48A985/activities	https://docs.google.com/spreadsheets/d/1GhEBAJvhLAVoDQvGf8W2SXK_du1WDtiCuxQEpnHus6E/edit?usp=sharing	3 blog Post  Send ( Work 65% Finish)	No Extend	Sifat / Akash	WIP	SEO	Search_Apex	May 12, 2026	$320.00	13 May 2026 at 04:11:00 AM	10 Days	SAA Team Old	SAA_Old Order	Repeat Order	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			growth_pro2_Fiverr	$400.00		$0.20	domiboll			FO16EB1F2701	https://www.fiverr.com/orders/FO16EB1F2701/activities	https://docs.google.com/spreadsheets/d/18fakLGQiktC7Q117iuVyGr4juim-hlHoGFDTTKyFdSg/edit?usp=sharing	Blog psot send ( Work 30%  project )	No Extend	Babu / Akash	WIP	SEO	Search_Apex	May 12, 2026	$320.00	13 May 2026 at 01:10:00 PM	11 Days	SAA Team Old	SAA_Old Order	Repeat Order	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			seo_boostify_Fiverr	$450.00		$0.20	crystalclearhs			FO11BAD174987	https://www.fiverr.com/orders/FO11BAD174987/activities	https://docs.google.com/spreadsheets/d/1j7P4XUjDm4psa4gRc1S7jFj274oY2X1FsEWdznSKkfU/edit?usp=sharing	Monthly management, 	No Extend	Jahidul / Shourav	WIP	SEO	Geo_Rankers	May 10, 2026	$360.00	14 May 2026 at 01:53:00 AM	11 Days	SAA Team Old	SAA_Old Order	Repeat Order	Fiverr	YES	
18998	C_Forward_SAA Sales	SAA Team Old	30 April 2026			rankeyfiy_Fiverr	$400.00		$0.20	miskay29			FO4229A3C0206	https://www.fiverr.com/orders/FO4229A3C0206/activities	https://docs.google.com/spreadsheets/d/1SmFKM_-R4zX4TKcdzFu1VE19ioVcYVzkMbvzTG-ecBw/edit?usp=sharing	5 ta blog update gese, 2 guest website update geche, Ajke guest post er article jabe	No Extend	Robel /Samia	WIP	SEO	Rank_Riser	May 13, 2026	$320.00	15 May 2026 at 06:42:00 PM	13 Days	SAA Team Old	SAA_Old Order	Repeat Order	Fiverr	YES	
